url,father_url,deep,vnp
ys_fN3uy7bQ,Tu1O2c1kRaQ,1,by
w_Rgft0Z4N8,Tu1O2c1kRaQ,1,by
-sZqtdT-GVw,Tu1O2c1kRaQ,1,by
hDsv1Fd3rzE,Tu1O2c1kRaQ,1,by
y8D0YerLwio,Tu1O2c1kRaQ,1,by
Ix4nKNDKhTQ,Tu1O2c1kRaQ,1,by
q3_fjks35uo,Tu1O2c1kRaQ,1,by
3qVzysj4sUM,Tu1O2c1kRaQ,1,by
XZg1ZDfYZu8,Tu1O2c1kRaQ,1,by
BavuJEzLSB0,Tu1O2c1kRaQ,1,by
dXIyMS61B68,ys_fN3uy7bQ,2,by
WIQ5j3en_q4,ys_fN3uy7bQ,2,by
NSKxvLWqyOY,ys_fN3uy7bQ,2,by
GwgI_0DA_ac,ys_fN3uy7bQ,2,by
YyBQe-EtTOA,ys_fN3uy7bQ,2,by
IYd1-cPwQCk,ys_fN3uy7bQ,2,by
jT6sdSoCgQU,ys_fN3uy7bQ,2,by
2gPEiwizeg8,ys_fN3uy7bQ,2,by
GPO9UmhUJlI,ys_fN3uy7bQ,2,by
1474i7Etcs8,ys_fN3uy7bQ,2,by
uyxaFN72_nk,w_Rgft0Z4N8,2,by
MIo2-bCS4kg,w_Rgft0Z4N8,2,by
3AK4y0paamc,w_Rgft0Z4N8,2,by
UrzF-rhJtOs,w_Rgft0Z4N8,2,by
YQ1bFxKjzJ0,w_Rgft0Z4N8,2,by
SP-lj21jSJM,w_Rgft0Z4N8,2,by
NfhzrgkPbOU,w_Rgft0Z4N8,2,by
3qVzysj4sUM,w_Rgft0Z4N8,2,by
CUY0YJPeZpw,w_Rgft0Z4N8,2,by
f2Y_GB2MTmM,w_Rgft0Z4N8,2,by
J-BKM2ig744,-sZqtdT-GVw,2,by
T2QZpy07j4s,-sZqtdT-GVw,2,by
RwKOWLSzFqE,-sZqtdT-GVw,2,by
nxqlTRYs6NY,-sZqtdT-GVw,2,by
9xDnAP8p2c0,-sZqtdT-GVw,2,by
kyxO0ET-rNc,-sZqtdT-GVw,2,by
4VXErA63_eg,-sZqtdT-GVw,2,by
UhUeTG8rAXw,-sZqtdT-GVw,2,by
xzHw23Thv3Y,-sZqtdT-GVw,2,by
tXB7odE1HuA,-sZqtdT-GVw,2,by
jmB6YCUzgMU,hDsv1Fd3rzE,2,by
IKvxF8GL_Fw,hDsv1Fd3rzE,2,by
2Qy-bgkxq_8,hDsv1Fd3rzE,2,by
tAclbm7guuA,hDsv1Fd3rzE,2,by
