url,father_url,deep,vnp
KYSDLzLXniE,tG0vusI-_jI,1,by
ys_fN3uy7bQ,tG0vusI-_jI,1,by
eYAPb4uNj5s,tG0vusI-_jI,1,by
3qVzysj4sUM,tG0vusI-_jI,1,by
H70HPDK8xeQ,tG0vusI-_jI,1,by
0w5S8f19gWk,tG0vusI-_jI,1,by
q3_fjks35uo,tG0vusI-_jI,1,by
pl8jHJNSlv8,tG0vusI-_jI,1,by
_IAgbb005PE,tG0vusI-_jI,1,by
ss4kE1F5Bok,tG0vusI-_jI,1,by
ss4kE1F5Bok,KYSDLzLXniE,2,by
ARCb-UcNm1s,KYSDLzLXniE,2,by
s3F6R92s6_o,KYSDLzLXniE,2,by
8cN7LWGO-gE,KYSDLzLXniE,2,by
ys_fN3uy7bQ,KYSDLzLXniE,2,by
PWEdJRRndkQ,KYSDLzLXniE,2,by
eYAPb4uNj5s,KYSDLzLXniE,2,by
ozAXyRQQjpA,KYSDLzLXniE,2,by
P7e1GYePmok,KYSDLzLXniE,2,by
JM3UaGJ2Djg,KYSDLzLXniE,2,by
0WOsrKnRkZg,ys_fN3uy7bQ,2,by
NSKxvLWqyOY,ys_fN3uy7bQ,2,by
WIQ5j3en_q4,ys_fN3uy7bQ,2,by
LjOewfgdM18,ys_fN3uy7bQ,2,by
bxg2oPMgaxE,ys_fN3uy7bQ,2,by
4fezP875xOQ,ys_fN3uy7bQ,2,by
YyBQe-EtTOA,ys_fN3uy7bQ,2,by
hLMLCPX4zyA,ys_fN3uy7bQ,2,by
jT6sdSoCgQU,ys_fN3uy7bQ,2,by
2gPEiwizeg8,ys_fN3uy7bQ,2,by
ASuhi65xd-U,eYAPb4uNj5s,2,by
5kjdTGxRQz8,eYAPb4uNj5s,2,by
6SxtRenlDzo,eYAPb4uNj5s,2,by
hAY-NfRFRq8,eYAPb4uNj5s,2,by
mH83o8hisno,eYAPb4uNj5s,2,by
roeK9OWpsC8,eYAPb4uNj5s,2,by
n_9SWZXC4Zw,eYAPb4uNj5s,2,by
oVv4J8hh6QY,eYAPb4uNj5s,2,by
4qFZi_CDkSQ,eYAPb4uNj5s,2,by
gBRP0ezUWYk,eYAPb4uNj5s,2,by
L8l3lnQ0O-0,3qVzysj4sUM,2,by
eYAPb4uNj5s,3qVzysj4sUM,2,by
XMTv-3ESuJc,3qVzysj4sUM,2,by
sCtAHpx3pU8,3qVzysj4sUM,2,by
e7sIFo5khxE,3qVzysj4sUM,2,by
K9M_QfpQ0jY,3qVzysj4sUM,2,by
bSUB7LJdGkw,3qVzysj4sUM,2,by
MNPKGNzlQE4,3qVzysj4sUM,2,by
n3lVJPFJmJk,3qVzysj4sUM,2,by
XPwgx_PIHgM,3qVzysj4sUM,2,by
A6atqabfxYk,H70HPDK8xeQ,2,by
l2mtebeR3rA,H70HPDK8xeQ,2,by
zun-CRis3gg,H70HPDK8xeQ,2,by
zCMZSDd_3Rk,H70HPDK8xeQ,2,by
7mdZibDytXA,H70HPDK8xeQ,2,by
N6c7_h34xcw,H70HPDK8xeQ,2,by
Q5KvgoaL16o,H70HPDK8xeQ,2,by
D5eeX5rjxU4,H70HPDK8xeQ,2,by
_pTkvET9qYw,H70HPDK8xeQ,2,by
lbA2PpoT5OA,H70HPDK8xeQ,2,by
fUPJnzxVEH8,0w5S8f19gWk,2,by
8cN7LWGO-gE,0w5S8f19gWk,2,by
_RoUAk-O8rc,0w5S8f19gWk,2,by
c9r8vDDDtsM,0w5S8f19gWk,2,by
f4TVaSQIEa8,0w5S8f19gWk,2,by
9-GtAUumUQA,0w5S8f19gWk,2,by
2o5cts9YeLs,0w5S8f19gWk,2,by
bFQDlNNig00,0w5S8f19gWk,2,by
chSjKhIAAcE,0w5S8f19gWk,2,by
3oRqaFH75Go,0w5S8f19gWk,2,by
gBLV3h4Kq30,q3_fjks35uo,2,by
GOO6NJGUMJU,q3_fjks35uo,2,by
HUUqIkL3nCE,q3_fjks35uo,2,by
eYAPb4uNj5s,q3_fjks35uo,2,by
oLQKrlY9Ua8,q3_fjks35uo,2,by
3qVzysj4sUM,q3_fjks35uo,2,by
XdedHSTxnGM,q3_fjks35uo,2,by
jT1jLsPVmgw,q3_fjks35uo,2,by
5T7jPXsqibA,q3_fjks35uo,2,by
cQJUbus5rwk,q3_fjks35uo,2,by
PWEdJRRndkQ,pl8jHJNSlv8,2,by
ARCb-UcNm1s,pl8jHJNSlv8,2,by
_RoUAk-O8rc,pl8jHJNSlv8,2,by
eYAPb4uNj5s,pl8jHJNSlv8,2,by
8cN7LWGO-gE,pl8jHJNSlv8,2,by
s3F6R92s6_o,pl8jHJNSlv8,2,by
q3_fjks35uo,pl8jHJNSlv8,2,by
lkBIY9AxBYs,pl8jHJNSlv8,2,by
D4gm0xA6t9c,pl8jHJNSlv8,2,by
6f55xUcdkb8,pl8jHJNSlv8,2,by
oSmyus-QCt0,_IAgbb005PE,2,by
s5wWW7DuVLA,_IAgbb005PE,2,by
SMFhEBrwZso,_IAgbb005PE,2,by
VdTXkWPvh40,_IAgbb005PE,2,by
2o5cts9YeLs,_IAgbb005PE,2,by
3qVzysj4sUM,_IAgbb005PE,2,by
w6IrLSdHkVU,_IAgbb005PE,2,by
ys_fN3uy7bQ,_IAgbb005PE,2,by
rkAeaybKvH4,_IAgbb005PE,2,by
tPGHQb4f0z0,_IAgbb005PE,2,by
_Zem0_qsDg0,ss4kE1F5Bok,2,by
pbjv0vPKI6k,ss4kE1F5Bok,2,by
P7e1GYePmok,ss4kE1F5Bok,2,by
3qVzysj4sUM,ss4kE1F5Bok,2,by
q3_fjks35uo,ss4kE1F5Bok,2,by
eYAPb4uNj5s,ss4kE1F5Bok,2,by
_r3AAdEFVNM,ss4kE1F5Bok,2,by
s3F6R92s6_o,ss4kE1F5Bok,2,by
ZRS0Lvi1OPY,ss4kE1F5Bok,2,by
pDQj_vWx77U,ss4kE1F5Bok,2,by
