url,father_url,deep,vnp
WejFaDtLSAY,sNDWUDdZbDo,1,by
Sv3fts2l40A,sNDWUDdZbDo,1,by
WBuzLAobnvc,sNDWUDdZbDo,1,by
eYAPb4uNj5s,sNDWUDdZbDo,1,by
d7U-Bn-0maQ,sNDWUDdZbDo,1,by
hiLBSsswYQI,sNDWUDdZbDo,1,by
damulLeDRKE,sNDWUDdZbDo,1,by
OtKC1rVyK44,sNDWUDdZbDo,1,by
s09w81-Z2l0,sNDWUDdZbDo,1,by
ASuhi65xd-U,sNDWUDdZbDo,1,by
D0yNNPluwww,WejFaDtLSAY,2,by
_dvRWmDGTW8,WejFaDtLSAY,2,by
damulLeDRKE,WejFaDtLSAY,2,by
2_Ly5o6bkcU,WejFaDtLSAY,2,by
-4x_M3mjfYU,WejFaDtLSAY,2,by
Y6chIXE5jSE,WejFaDtLSAY,2,by
SGq1f7xxSZM,WejFaDtLSAY,2,by
tiR6c2vZugA,WejFaDtLSAY,2,by
Ea-5_4OzRkw,WejFaDtLSAY,2,by
B822o1jnSzU,WejFaDtLSAY,2,by
PYFjEuMKe0k,Sv3fts2l40A,2,by
SET7MSVTbbc,Sv3fts2l40A,2,by
WBuzLAobnvc,Sv3fts2l40A,2,by
JFSuhRwlupg,Sv3fts2l40A,2,by
eYAPb4uNj5s,Sv3fts2l40A,2,by
6VDBrjxeKgo,Sv3fts2l40A,2,by
9G-XT01kx4Q,Sv3fts2l40A,2,by
damulLeDRKE,Sv3fts2l40A,2,by
tiR6c2vZugA,Sv3fts2l40A,2,by
q5xqw-NRRb0,Sv3fts2l40A,2,by
ASuhi65xd-U,WBuzLAobnvc,2,by
6SxtRenlDzo,WBuzLAobnvc,2,by
oVv4J8hh6QY,WBuzLAobnvc,2,by
5kjdTGxRQz8,WBuzLAobnvc,2,by
n_9SWZXC4Zw,WBuzLAobnvc,2,by
zMsGh3TkyS4,WBuzLAobnvc,2,by
eYAPb4uNj5s,WBuzLAobnvc,2,by
d3ssEJapB-k,WBuzLAobnvc,2,by
hAY-NfRFRq8,WBuzLAobnvc,2,by
gBRP0ezUWYk,WBuzLAobnvc,2,by
6SxtRenlDzo,eYAPb4uNj5s,2,by
5kjdTGxRQz8,eYAPb4uNj5s,2,by
n_9SWZXC4Zw,eYAPb4uNj5s,2,by
ASuhi65xd-U,eYAPb4uNj5s,2,by
hAY-NfRFRq8,eYAPb4uNj5s,2,by
gBRP0ezUWYk,eYAPb4uNj5s,2,by
3qVzysj4sUM,eYAPb4uNj5s,2,by
roeK9OWpsC8,eYAPb4uNj5s,2,by
MgT0Q0uHAJM,eYAPb4uNj5s,2,by
4qFZi_CDkSQ,eYAPb4uNj5s,2,by
tgYO7TCz_c4,d7U-Bn-0maQ,2,by
8ia5WVqdVXo,d7U-Bn-0maQ,2,by
eYAPb4uNj5s,d7U-Bn-0maQ,2,by
udnQYz8aIWI,d7U-Bn-0maQ,2,by
khjF46nMQqQ,d7U-Bn-0maQ,2,by
aP2bjoY148I,d7U-Bn-0maQ,2,by
uhG8l72VaB4,d7U-Bn-0maQ,2,by
wy6b1WMzS_Y,d7U-Bn-0maQ,2,by
vPJnIy45jX0,d7U-Bn-0maQ,2,by
5kjdTGxRQz8,d7U-Bn-0maQ,2,by
xDaOmw04CeM,hiLBSsswYQI,2,by
aLsF3JxPgHs,hiLBSsswYQI,2,by
