url,father_url,deep,vnp
tqbU0ibcH0k,YZLvLnDrV6g,1,by
YPyOmXYYD_0,YZLvLnDrV6g,1,by
xBd0zYPGCHg,YZLvLnDrV6g,1,by
b3m_DIKTJEo,YZLvLnDrV6g,1,by
8yo7OJkz9bE,YZLvLnDrV6g,1,by
HUUqIkL3nCE,YZLvLnDrV6g,1,by
JjkSet2QCjk,YZLvLnDrV6g,1,by
14ekAzZmbps,YZLvLnDrV6g,1,by
Y391XU4E6Gk,YZLvLnDrV6g,1,by
3qVzysj4sUM,YZLvLnDrV6g,1,by
8yo7OJkz9bE,tqbU0ibcH0k,2,by
YPyOmXYYD_0,tqbU0ibcH0k,2,by
5LqkSmQfzNw,tqbU0ibcH0k,2,by
6MgsiAsvqYk,tqbU0ibcH0k,2,by
WejFaDtLSAY,tqbU0ibcH0k,2,by
gPpRaMFf5EY,tqbU0ibcH0k,2,by
Y6chIXE5jSE,tqbU0ibcH0k,2,by
zPgfVj8orT4,tqbU0ibcH0k,2,by
YZLvLnDrV6g,tqbU0ibcH0k,2,by
F1nV1XSOBAM,tqbU0ibcH0k,2,by
8yo7OJkz9bE,YPyOmXYYD_0,2,by
YZLvLnDrV6g,YPyOmXYYD_0,2,by
5lgJazurQ4I,YPyOmXYYD_0,2,by
N8zTVKMMlbo,YPyOmXYYD_0,2,by
7PJCg-9jUXs,YPyOmXYYD_0,2,by
Uw8GpmAPBJo,YPyOmXYYD_0,2,by
WejFaDtLSAY,YPyOmXYYD_0,2,by
moDChqyhxH0,YPyOmXYYD_0,2,by
G0j4CuAqJ9k,YPyOmXYYD_0,2,by
igGlQ_j9FuE,YPyOmXYYD_0,2,by
LIDeHa6eH8k,xBd0zYPGCHg,2,by
OfJHy7aYokI,xBd0zYPGCHg,2,by
1LqJx9sxixU,xBd0zYPGCHg,2,by
f-PjJA5PyJU,xBd0zYPGCHg,2,by
dpEDhRLCouA,xBd0zYPGCHg,2,by
g8E49RRXIG0,xBd0zYPGCHg,2,by
u8Izeif__N0,xBd0zYPGCHg,2,by
QDBm0WOCw3M,xBd0zYPGCHg,2,by
n1QTVWEAprs,xBd0zYPGCHg,2,by
BAVVgKuuJFY,xBd0zYPGCHg,2,by
