url,father_url,deep,vnp
yoP6NCGb3oM,F8TFfAM5t8Q,1,by
wMPTyjl-jvc,F8TFfAM5t8Q,1,by
3qVzysj4sUM,F8TFfAM5t8Q,1,by
p5yiJDmY9kQ,F8TFfAM5t8Q,1,by
oHPeHM65coA,F8TFfAM5t8Q,1,by
PiYSbR2B85w,F8TFfAM5t8Q,1,by
yXFoQVfG97U,F8TFfAM5t8Q,1,by
L8l3lnQ0O-0,F8TFfAM5t8Q,1,by
tiR6c2vZugA,F8TFfAM5t8Q,1,by
UrzF-rhJtOs,F8TFfAM5t8Q,1,by
lu_BObG6dj8,yoP6NCGb3oM,2,by
v4HRWgwjP_k,yoP6NCGb3oM,2,by
deDlhPmT2SY,yoP6NCGb3oM,2,by
d8V9ZaSq9Oc,yoP6NCGb3oM,2,by
CUY0YJPeZpw,yoP6NCGb3oM,2,by
ki6xrEiHE4U,yoP6NCGb3oM,2,by
emxEhfwori4,yoP6NCGb3oM,2,by
qJXKhu5UZwk,yoP6NCGb3oM,2,by
VD9p9tEP9RE,yoP6NCGb3oM,2,by
3qVzysj4sUM,yoP6NCGb3oM,2,by
VPYOY6JquwY,wMPTyjl-jvc,2,by
05tG47pv1vM,wMPTyjl-jvc,2,by
2TqeZ8CJ6tw,wMPTyjl-jvc,2,by
atejm2w2jWY,wMPTyjl-jvc,2,by
DQ_q60z09TQ,wMPTyjl-jvc,2,by
zt6i6vVgiO4,wMPTyjl-jvc,2,by
u-XDOnSSUzI,wMPTyjl-jvc,2,by
RUePwWspKHI,wMPTyjl-jvc,2,by
58kdlgKvEU0,wMPTyjl-jvc,2,by
IY-RoiVLExs,wMPTyjl-jvc,2,by
L8l3lnQ0O-0,3qVzysj4sUM,2,by
bSUB7LJdGkw,3qVzysj4sUM,2,by
XMTv-3ESuJc,3qVzysj4sUM,2,by
vFrLQA3SE88,3qVzysj4sUM,2,by
wxoA9_0TrmY,3qVzysj4sUM,2,by
XPwgx_PIHgM,3qVzysj4sUM,2,by
eYAPb4uNj5s,3qVzysj4sUM,2,by
MNPKGNzlQE4,3qVzysj4sUM,2,by
K9M_QfpQ0jY,3qVzysj4sUM,2,by
sCtAHpx3pU8,3qVzysj4sUM,2,by
yI6vam8QqS0,p5yiJDmY9kQ,2,by
S9u5xUFEDQQ,p5yiJDmY9kQ,2,by
nkPsnrmBFXA,p5yiJDmY9kQ,2,by
KQGbRAXwR2Y,p5yiJDmY9kQ,2,by
d0Hki1GGzUY,p5yiJDmY9kQ,2,by
hTqZZMeb7w0,p5yiJDmY9kQ,2,by
3qVzysj4sUM,p5yiJDmY9kQ,2,by
ge6WZysI6JU,p5yiJDmY9kQ,2,by
G19Dh6XMUV8,p5yiJDmY9kQ,2,by
W0GfN1JxTc4,p5yiJDmY9kQ,2,by
wgEB3EjM3LM,oHPeHM65coA,2,by
Hu5L3H4fBMI,oHPeHM65coA,2,by
nlBeQB6Vm5U,oHPeHM65coA,2,by
r8AEh7_bu58,oHPeHM65coA,2,by
3qVzysj4sUM,oHPeHM65coA,2,by
386GS_yhyKE,oHPeHM65coA,2,by
t5h737WnsTA,oHPeHM65coA,2,by
60nRmz7_yR0,oHPeHM65coA,2,by
LXsXU2T1wyw,oHPeHM65coA,2,by
uTZmVLkGQ_0,oHPeHM65coA,2,by
Ykreq4u_Egw,PiYSbR2B85w,2,by
AfX216nMZzc,PiYSbR2B85w,2,by
nnsyGSTKlw0,PiYSbR2B85w,2,by
4tbNJcvGjOY,PiYSbR2B85w,2,by
wkVygetgeRY,PiYSbR2B85w,2,by
3qVzysj4sUM,PiYSbR2B85w,2,by
0QWP4IZOu0I,PiYSbR2B85w,2,by
z1FylHV_BVk,PiYSbR2B85w,2,by
YQpuGCTXszw,PiYSbR2B85w,2,by
Z-xh1TwHIXM,PiYSbR2B85w,2,by
o8TAZPVyXPM,yXFoQVfG97U,2,by
G1cM_vuCqoI,yXFoQVfG97U,2,by
HJ_tFcJSERA,yXFoQVfG97U,2,by
b-JcsQ41Kuk,yXFoQVfG97U,2,by
7ueZ1kW6078,yXFoQVfG97U,2,by
1cZbv9Eyd4c,yXFoQVfG97U,2,by
TCk20JxchlQ,yXFoQVfG97U,2,by
KNzfGnbEXfA,yXFoQVfG97U,2,by
ywRmNYrep8k,yXFoQVfG97U,2,by
dm1dSSZ7k3w,yXFoQVfG97U,2,by
3qVzysj4sUM,L8l3lnQ0O-0,2,by
eYAPb4uNj5s,L8l3lnQ0O-0,2,by
X3gqxT9cANY,L8l3lnQ0O-0,2,by
8U4xFrqcDw8,L8l3lnQ0O-0,2,by
LkstrJkaVDU,L8l3lnQ0O-0,2,by
MNPKGNzlQE4,L8l3lnQ0O-0,2,by
GsFSfiyoNZo,L8l3lnQ0O-0,2,by
3iuF9aTd5FI,L8l3lnQ0O-0,2,by
u1Avak0qZGE,L8l3lnQ0O-0,2,by
e8iIBhd-_5s,L8l3lnQ0O-0,2,by
eYAPb4uNj5s,tiR6c2vZugA,2,by
6SxtRenlDzo,tiR6c2vZugA,2,by
WBuzLAobnvc,tiR6c2vZugA,2,by
WT16M5vbDiI,tiR6c2vZugA,2,by
oVv4J8hh6QY,tiR6c2vZugA,2,by
4qFZi_CDkSQ,tiR6c2vZugA,2,by
3qVzysj4sUM,tiR6c2vZugA,2,by
5kjdTGxRQz8,tiR6c2vZugA,2,by
d3ssEJapB-k,tiR6c2vZugA,2,by
ASuhi65xd-U,tiR6c2vZugA,2,by
dm1dSSZ7k3w,UrzF-rhJtOs,2,by
OTrTqs9FLq0,UrzF-rhJtOs,2,by
KDmEUA7DEOs,UrzF-rhJtOs,2,by
lmClPGvdWTI,UrzF-rhJtOs,2,by
VWKd8B98ia4,UrzF-rhJtOs,2,by
4p3ly0xnxWE,UrzF-rhJtOs,2,by
r4Tnhnn45Vg,UrzF-rhJtOs,2,by
AAZespwbj6k,UrzF-rhJtOs,2,by
XbriqWx0w7U,UrzF-rhJtOs,2,by
mu93DrM2tig,UrzF-rhJtOs,2,by
