url,father_url,deep,vnp
c71TBxjW6c8,y02QQn9T08w,1,by
78Da0zSnjTA,y02QQn9T08w,1,by
ypJzjplXFYc,y02QQn9T08w,1,by
tSEoS6abI4g,y02QQn9T08w,1,by
QBgXhpYGhlY,y02QQn9T08w,1,by
3oyEGL99nm8,y02QQn9T08w,1,by
w688tZUJ8rg,y02QQn9T08w,1,by
v5HIjwnWa2U,y02QQn9T08w,1,by
-tf_BNUxq5g,y02QQn9T08w,1,by
f4UoreRlPac,y02QQn9T08w,1,by
ulJvBS1YzLs,c71TBxjW6c8,2,by
Qjt177luCKI,c71TBxjW6c8,2,by
K_m8XfF8IOQ,c71TBxjW6c8,2,by
eYAPb4uNj5s,c71TBxjW6c8,2,by
Tl8EPyZzqRg,c71TBxjW6c8,2,by
o93HxsDVjrU,c71TBxjW6c8,2,by
N8zTVKMMlbo,c71TBxjW6c8,2,by
EiV2mbeDP_4,c71TBxjW6c8,2,by
ASuhi65xd-U,c71TBxjW6c8,2,by
aPPPpNwpG6Y,c71TBxjW6c8,2,by
eYAPb4uNj5s,78Da0zSnjTA,2,by
ASuhi65xd-U,78Da0zSnjTA,2,by
3qVzysj4sUM,78Da0zSnjTA,2,by
Z6LQ0jtDqhU,78Da0zSnjTA,2,by
GbZYDo232Rg,78Da0zSnjTA,2,by
V60sYB0Skck,78Da0zSnjTA,2,by
MgT0Q0uHAJM,78Da0zSnjTA,2,by
UttgyZCppyA,78Da0zSnjTA,2,by
n3lVJPFJmJk,78Da0zSnjTA,2,by
d3ssEJapB-k,78Da0zSnjTA,2,by
eYAPb4uNj5s,ypJzjplXFYc,2,by
3qVzysj4sUM,ypJzjplXFYc,2,by
XQyLMBvQW14,ypJzjplXFYc,2,by
xSpdo5rqwvY,ypJzjplXFYc,2,by
OsbALma5rAU,ypJzjplXFYc,2,by
L8l3lnQ0O-0,ypJzjplXFYc,2,by
QO0RcRfxsqA,ypJzjplXFYc,2,by
LuJYt_hXaI0,ypJzjplXFYc,2,by
Br10LLpn9h0,ypJzjplXFYc,2,by
oRkfQMWOcX8,ypJzjplXFYc,2,by
L1XoPQFqeUs,tSEoS6abI4g,2,by
qZZlC4VPb40,tSEoS6abI4g,2,by
qp_s5GC3TY8,tSEoS6abI4g,2,by
RVF5CUB2evw,tSEoS6abI4g,2,by
eYAPb4uNj5s,tSEoS6abI4g,2,by
Br10LLpn9h0,tSEoS6abI4g,2,by
cK_wkTRLFNQ,tSEoS6abI4g,2,by
f_zBcZ-Te8Y,tSEoS6abI4g,2,by
ZrCvD62fjpQ,tSEoS6abI4g,2,by
3ils2qcRukk,tSEoS6abI4g,2,by
uCYCofP1kFI,QBgXhpYGhlY,2,by
0qORXkEZ5gQ,QBgXhpYGhlY,2,by
3qVzysj4sUM,QBgXhpYGhlY,2,by
K_m8XfF8IOQ,QBgXhpYGhlY,2,by
uDPnVucfPrs,QBgXhpYGhlY,2,by
78Da0zSnjTA,QBgXhpYGhlY,2,by
vb6pIQnt0ac,QBgXhpYGhlY,2,by
F_2hBzOneBk,QBgXhpYGhlY,2,by
6MpknqyB9g0,QBgXhpYGhlY,2,by
IYfGJZTIvv0,QBgXhpYGhlY,2,by
t-g8AgLsIXI,3oyEGL99nm8,2,by
AGAF839wQtM,3oyEGL99nm8,2,by
12Wf47WjlSw,3oyEGL99nm8,2,by
-0_HHOLW_8g,3oyEGL99nm8,2,by
lCAq9gq86XA,3oyEGL99nm8,2,by
vEdl8G4JAcM,3oyEGL99nm8,2,by
Hgffc6exzys,3oyEGL99nm8,2,by
PtKqMRmxKzM,3oyEGL99nm8,2,by
rROWQxiihig,3oyEGL99nm8,2,by
V60sYB0Skck,3oyEGL99nm8,2,by
3qVzysj4sUM,w688tZUJ8rg,2,by
m04_bXkyvns,w688tZUJ8rg,2,by
L8l3lnQ0O-0,w688tZUJ8rg,2,by
snxuO2jn93I,w688tZUJ8rg,2,by
MNPKGNzlQE4,w688tZUJ8rg,2,by
9rns0K486E4,w688tZUJ8rg,2,by
Y6Fkdy_EOIY,w688tZUJ8rg,2,by
lyTbO8Z1MTA,w688tZUJ8rg,2,by
R-KqGnO6VBQ,w688tZUJ8rg,2,by
M2v07gQZBKk,w688tZUJ8rg,2,by
f-PjJA5PyJU,v5HIjwnWa2U,2,by
6SxtRenlDzo,v5HIjwnWa2U,2,by
3qVzysj4sUM,v5HIjwnWa2U,2,by
5Qcf3WdhIrU,v5HIjwnWa2U,2,by
chSjKhIAAcE,v5HIjwnWa2U,2,by
58TWwL1W-WI,v5HIjwnWa2U,2,by
mb9z7y4M_3s,v5HIjwnWa2U,2,by
zMsGh3TkyS4,v5HIjwnWa2U,2,by
PKmswW0bukE,v5HIjwnWa2U,2,by
eYAPb4uNj5s,v5HIjwnWa2U,2,by
11Yggzzwmd8,-tf_BNUxq5g,2,by
k3zWSSooEZY,-tf_BNUxq5g,2,by
dPVaSa6vIlU,-tf_BNUxq5g,2,by
flHFSTl5zyQ,-tf_BNUxq5g,2,by
udnQYz8aIWI,-tf_BNUxq5g,2,by
EKnaubIjvWM,-tf_BNUxq5g,2,by
YjSlWkeY2Sk,-tf_BNUxq5g,2,by
uqPIuWCILaI,-tf_BNUxq5g,2,by
WBuzLAobnvc,-tf_BNUxq5g,2,by
TprZ-83fAiE,-tf_BNUxq5g,2,by
eYAPb4uNj5s,f4UoreRlPac,2,by
F3HEXtsfYyI,f4UoreRlPac,2,by
KC48X4LO_5E,f4UoreRlPac,2,by
3qVzysj4sUM,f4UoreRlPac,2,by
EPkA5lkdpzI,f4UoreRlPac,2,by
R-KqGnO6VBQ,f4UoreRlPac,2,by
L8l3lnQ0O-0,f4UoreRlPac,2,by
Uga6iaDJ3Sk,f4UoreRlPac,2,by
vWnY8udrB84,f4UoreRlPac,2,by
d3ssEJapB-k,f4UoreRlPac,2,by
